Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Average Distance of Shot,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Season
Bruno Fernandes,POR,MF,Manchester Utd,26,1994,14.4,11,45,16,35.6,3.12,1.11,0.13,0.38,23.4,5,5,6,8.2,3.6,0.08,2.8,2.4,2020/2021
Federico Fernández,ARG,DF,Newcastle Utd,31,1989,14.5,0,1,1,100,0.07,0.07,0,0,5.8,0,0,0,0.1,0.1,0.08,-0.1,-0.1,2020/2021
Fernandinho,BRA,MF,Manchester City,35,1985,3.8,0,7,1,14.3,1.85,0.26,0,0,18.9,0,0,0,0.5,0.5,0.07,-0.5,-0.5,2020/2021
Roberto Firmino,BRA,FWMF,Liverpool,29,1991,15.5,5,38,15,39.5,2.46,0.97,0.13,0.33,12.6,0,0,0,6,6,0.16,-1,-1,2020/2021
John Fleck,SCO,MF,Sheffield Utd,29,1991,8.7,0,7,1,14.3,0.8,0.11,0,0,21.2,0,0,0,0.5,0.5,0.07,-0.5,-0.5,2020/2021
Phil Foden,ENG,FWDF,Manchester City,20,2000,6.6,3,17,6,35.3,2.59,0.92,0.18,0.5,14.9,0,0,0,2,2,0.12,1,1,2020/2021
Pablo Fornals,ESP,MFFW,West Ham,24,1996,14,2,23,7,30.4,1.64,0.5,0.09,0.29,14.4,0,0,0,3.6,3.6,0.16,-1.6,-1.6,2020/2021
Ryan Fraser,SCO,MF,Newcastle Utd,26,1994,3.1,0,2,1,50,0.65,0.33,0,0,26.9,0,0,0,0.1,0.1,0.04,-0.1,-0.1,2020/2021
Fred,BRA,MF,Manchester Utd,27,1993,10.1,0,8,1,12.5,0.79,0.1,0,0,21.3,0,0,0,0.5,0.5,0.07,-0.5,-0.5,2020/2021
Ryan Fredericks,ENG,DF,West Ham,28,1992,3.5,0,1,1,100,0.28,0.28,0,0,5.8,0,0,0,0.2,0.2,0.15,-0.2,-0.2,2020/2021
Darnell Furlong,ENG,DF,West Brom,25,1995,15.8,1,13,3,23.1,0.83,0.19,0.08,0.33,13.6,0,0,0,0.8,0.8,0.06,0.2,0.2,2020/2021
Conor Gallagher,ENG,MF,West Brom,20,2000,12.9,2,18,5,27.8,1.4,0.39,0.11,0.4,21.7,0,0,0,0.9,0.9,0.05,1.1,1.1,2020/2021
Dwight Gayle,ENG,FW,Newcastle Utd,30,1990,0.7,1,3,1,33.3,4.22,1.41,0.33,1,11.3,0,0,0,0.2,0.2,0.07,0.8,0.8,2020/2021
Anwar El Ghazi,NED,FW,Aston Villa,25,1995,5.4,5,25,14,56,4.67,2.61,0.12,0.21,19.8,2,2,2,3.8,2.3,0.09,1.2,0.7,2020/2021
Olivier Giroud,FRA,FW,Chelsea,34,1986,4,3,15,4,26.7,3.74,1,0.2,0.75,9.5,0,0,0,2.6,2.6,0.18,0.4,0.4,2020/2021
Ben Godfrey,ENG,DF,Everton,22,1998,9.7,0,1,1,100,0.1,0.1,0,0,11,0,0,0,0.1,0.1,0.1,-0.1,-0.1,2020/2021
Karlan Grant,ENG,FW,West Brom,23,1997,9.5,1,15,8,53.3,1.58,0.84,0.07,0.13,14.7,1,0,0,2.1,2.1,0.14,-1.1,-1.1,2020/2021
Jack Grealish,ENG,FWMF,Aston Villa,25,1995,15,5,39,12,30.8,2.6,0.8,0.13,0.42,16.3,1,0,0,3.4,3.4,0.09,1.6,1.6,2020/2021
Mason Greenwood,ENG,FW,Manchester Utd,19,2001,6.9,1,19,5,26.3,2.76,0.73,0.05,0.2,17.7,0,0,0,1.7,1.7,0.09,-0.7,-0.7,2020/2021
Pascal Groß,GER,MF,Brighton,29,1991,8,2,8,1,12.5,1,0.13,0,0,20.4,0,2,2,2.1,0.6,0.08,-0.1,-0.6,2020/2021
İlkay Gündoğan,GER,MF,Manchester City,30,1990,8.2,3,14,5,35.7,1.71,0.61,0.21,0.6,16.1,1,0,0,1.6,1.6,0.11,1.4,1.4,2020/2021
Sébastien Haller,CIV,FW,West Ham,26,1994,10.4,3,25,11,44,2.4,1.06,0.12,0.27,9.5,0,0,0,2.9,2.9,0.12,0.1,0.1,2020/2021
Rekeem Harper,ENG,MF,West Brom,20,2000,0.4,0,1,1,100,2.81,2.81,0,0,23,0,0,0,0,0,0.04,0,0,2020/2021
Jack Harrison,ENG,MF,Leeds United,24,1996,14.5,3,23,6,26.1,1.58,0.41,0.13,0.5,16.2,1,0,0,2.9,2.9,0.13,0.1,0.1,2020/2021
Kortney Hause,ENG,DF,Aston Villa,25,1995,4,1,3,1,33.3,0.75,0.25,0.33,1,6.4,0,0,0,1.1,1.1,0.36,-0.1,-0.1,2020/2021
Kai Havertz,GER,MFFW,Chelsea,21,1999,9.1,1,10,4,40,1.1,0.44,0.1,0.25,15.3,0,0,0,1.4,1.4,0.14,-0.4,-0.4,2020/2021
Isaac Hayden,ENG,MFDF,Newcastle Utd,25,1995,10.1,0,5,1,20,0.49,0.1,0,0,25.2,0,0,0,0.1,0.1,0.02,-0.1,-0.1,2020/2021
Jordan Henderson,ENG,MFDF,Liverpool,30,1990,12.6,1,12,3,25,0.95,0.24,0.08,0.33,18.6,0,0,0,1.4,1.4,0.12,-0.4,-0.4,2020/2021
Jeff Hendrick,IRL,MF,Newcastle Utd,28,1992,9.1,2,8,2,25,0.88,0.22,0.25,1,18.2,0,0,0,0.9,0.9,0.11,1.1,1.1,2020/2021
Pablo Hernández,ESP,MF,Leeds United,35,1985,2.7,0,8,1,12.5,2.96,0.37,0,0,17.1,0,0,0,0.8,0.8,0.11,-0.8,-0.8,2020/2021
Son Heung-min,KOR,FW,Tottenham,28,1992,14.9,12,28,17,60.7,1.87,1.14,0.43,0.71,15,0,0,0,5.3,5.3,0.19,6.7,6.7,2020/2021
Rob Holding,ENG,DF,Arsenal,25,1995,13.5,0,9,2,22.2,0.67,0.15,0,0,13.7,0,0,0,0.8,0.8,0.08,-0.8,-0.8,2020/2021
Mason Holgate,ENG,DF,Everton,24,1996,6.9,1,4,2,50,0.58,0.29,0.25,0.5,11.8,0,0,0,0.7,0.7,0.19,0.3,0.3,2020/2021
Conor Hourihane,IRL,MF,Aston Villa,29,1991,2.5,1,5,2,40,2,0.8,0.2,0.5,21.3,1,0,0,0.5,0.5,0.1,0.5,0.5,2020/2021
Callum Hudson-Odoi,ENG,FW,Chelsea,20,2000,3.7,2,8,3,37.5,2.16,0.81,0.25,0.67,18.8,0,0,0,0.6,0.6,0.08,1.4,1.4,2020/2021
Pierre Højbjerg,DEN,MF,Tottenham,25,1995,16,0,6,2,33.3,0.37,0.12,0,0,26.8,0,0,0,0.3,0.3,0.05,-0.3,-0.3,2020/2021
Kelechi Iheanacho,NGA,FWMF,Leicester City,24,1996,2.6,0,8,1,12.5,3.03,0.38,0,0,15.2,0,0,1,1.4,0.7,0.08,-1.4,-0.7,2020/2021
Danny Ings,ENG,FW,Southampton,28,1992,11.7,7,25,13,52,2.13,1.11,0.2,0.38,15.9,0,2,2,4.8,3.3,0.13,2.2,1.7,2020/2021
Branislav Ivanović,SRB,DF,West Brom,36,1984,8.2,0,4,1,25,0.49,0.12,0,0,6.5,0,0,0,0.6,0.6,0.15,-0.6,-0.6,2020/2021
