Rk,Player,PlayerID,Nation,Pos,Squad,Age,Born,MP,Starts,Min,Gls,Ast,PK,PKatt,CrdY,CrdR,Gls.1,Ast.1,G+A,G-PK,G+A-PK,xG,npxG,xA,xG.1,xA.1,xG+xA,npxG.1,npxG+xA,Season
263,Jesse Lingard,Jesse-Lingard,ENG,MFFW,Manchester Utd,26,1992,22,9,935,1,0,0,0,3,0,0.1,0,0.1,0.1,0.1,2.7,2.7,0.9,0.26,0.09,0.35,0.26,0.35,2019/2020
264,Hugo Lloris,Hugo-Lloris,FRA,GK,Tottenham,32,1986,21,21,1807,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2019/2020
265,Giovani Lo Celso,Giovani-Lo-Celso,ARG,MFFW,Tottenham,23,1996,28,15,1492,0,2,0,0,6,0,0,0.12,0.12,0,0.12,1.2,1.2,2.1,0.08,0.12,0.2,0.08,0.2,2019/2020
266,Jürgen Locadia,Jurgen-Locadia,NED,MFFW,Brighton,25,1993,2,1,86,0,0,0,0,0,0,0,0,0,0,0,0.3,0.3,0,0.35,0,0.35,0.35,0.35,2019/2020
267,Ruben Loftus-Cheek,Ruben-Loftus-Cheek,ENG,MFFW,Chelsea,23,1996,7,2,208,0,1,0,0,0,0,0,0.43,0.43,0,0.43,0.5,0.5,0.3,0.23,0.13,0.36,0.23,0.36,2019/2020
268,Kevin Long,Kevin-Long,IRL,DF,Burnley,28,1990,8,6,564,0,0,0,0,0,0,0,0,0,0,0,0.2,0.2,0,0.03,0,0.03,0.03,0.03,2019/2020
269,Shane Long,Shane-Long,IRL,FW,Southampton,32,1987,26,15,1395,2,2,0,0,0,0,0.13,0.13,0.26,0.13,0.26,4.8,4.8,1.4,0.31,0.09,0.4,0.31,0.4,2019/2020
270,Matthew Longstaff,Matthew-Longstaff,ENG,MF,Newcastle Utd,19,2000,9,6,575,2,0,0,0,1,0,0.31,0,0.31,0.31,0.31,0.4,0.4,0.2,0.07,0.03,0.1,0.07,0.1,2019/2020
271,Sean Longstaff,Sean-Longstaff,ENG,MF,Newcastle Utd,21,1997,23,14,1378,1,1,0,0,2,1,0.07,0.07,0.13,0.07,0.13,0.9,0.9,1,0.06,0.06,0.13,0.06,0.13,2019/2020
272,Dejan Lovren,Dejan-Lovren,CRO,DF,Liverpool,30,1989,10,9,777,0,1,0,0,1,0,0,0.12,0.12,0,0.12,0.3,0.3,0.4,0.03,0.04,0.07,0.03,0.07,2019/2020
273,Matthew Lowton,Matthew-Lowton,ENG,DF,Burnley,30,1989,17,17,1530,0,1,0,0,2,0,0,0.06,0.06,0,0.06,0,0,1,0,0.06,0.06,0,0.06,2019/2020
274,David Luiz,David-Luiz,BRA,DF,Arsenal,32,1987,33,32,2809,2,1,0,0,5,2,0.06,0.03,0.1,0.06,0.1,1.9,1.9,0.9,0.06,0.03,0.09,0.06,0.09,2019/2020
275,Douglas Luiz,Douglas-Luiz,BRA,MF,Aston Villa,21,1998,36,28,2612,3,2,0,0,8,0,0.1,0.07,0.17,0.1,0.17,2.3,2.3,1.4,0.08,0.05,0.13,0.08,0.13,2019/2020
276,John Lundstram,John-Lundstram,ENG,MF,Sheffield Utd,25,1994,34,26,2458,5,3,0,0,5,0,0.18,0.11,0.29,0.18,0.29,5.2,5.2,2.3,0.19,0.08,0.27,0.19,0.27,2019/2020
277,Alexis Mac Allister,Alexis-Mac-Allister,ARG,MFFW,Brighton,20,1998,9,4,352,0,0,0,0,0,0,0,0,0,0,0,0.4,0.4,0.3,0.09,0.07,0.16,0.09,0.16,2019/2020
278,James Maddison,James-Maddison,ENG,MF,Leicester City,22,1996,31,29,2624,6,3,0,0,4,0,0.21,0.1,0.31,0.21,0.31,4.9,4.9,7.4,0.17,0.25,0.42,0.17,0.42,2019/2020
279,Harry Maguire,Harry-Maguire,ENG,DF,Manchester Utd,26,1993,38,38,3420,1,1,0,0,6,0,0.03,0.03,0.05,0.03,0.05,2,2,0.6,0.05,0.01,0.07,0.05,0.07,2019/2020
280,Riyad Mahrez,Riyad-Mahrez,ALG,FW,Manchester City,28,1991,33,21,1944,11,9,1,1,0,0,0.51,0.42,0.93,0.46,0.88,7.2,6.4,8.8,0.33,0.41,0.74,0.3,0.71,2019/2020
281,Ainsley Maitland-Niles,Ainsley-Maitland-Niles,ENG,DF,Arsenal,21,1997,20,15,1386,0,2,0,0,6,1,0,0.13,0.13,0,0.13,0.3,0.3,1.5,0.02,0.1,0.12,0.02,0.12,2019/2020
282,Sadio Mané,Sadio-Mane,SEN,FW,Liverpool,27,1992,35,31,2747,18,7,0,0,3,0,0.59,0.23,0.82,0.59,0.82,13.8,13.8,7.3,0.45,0.24,0.69,0.45,0.69,2019/2020
283,Javier Manquillo,Javier-Manquillo,ESP,DF,Newcastle Utd,25,1994,21,18,1599,0,1,0,0,5,0,0,0.06,0.06,0,0.06,0.1,0.1,0.4,0,0.02,0.02,0,0.02,2019/2020
284,Solly March,Solly-March,ENG,DFFW,Brighton,25,1994,19,11,1143,0,1,0,0,2,0,0,0.08,0.08,0,0.08,1.4,1.4,0.8,0.11,0.06,0.17,0.11,0.17,2019/2020
285,Pablo Marí,Pablo-Mari,ESP,DF,Arsenal,25,1993,2,2,113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2019/2020
286,Adrian Mariappa,Adrian-Mariappa,JAM,DF,Watford,32,1986,20,15,1513,0,0,0,0,6,1,0,0,0,0,0,0.3,0.3,0.4,0.02,0.02,0.04,0.02,0.04,2019/2020
