Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,Gls,Ast,PK,PKatt,CrdY,CrdR,Gls.1,Ast.1,G+A,G-PK,G+A-PK,xG,npxG,xA,xG.1,xA.1,xG+xA,npxG.1,npxG+xA,Season
14,Trent Alexander-Arnold,ENG,DF,Liverpool,22,1998,13,12,1050,0,2,0,0,1,0,0,0.17,0.17,0,0.17,1,1,1.9,0.08,0.16,0.25,0.08,0.25,2020/2021
15,Ezgjan Alioski,MKD,DFMF,Leeds United,28,1992,13,10,820,1,0,0,0,1,0,0.11,0,0.11,0.11,0.11,0.8,0.8,1.3,0.09,0.15,0.23,0.09,0.23,2020/2021
16,Alisson,BRA,GK,Liverpool,28,1992,12,12,1080,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020/2021
17,Allan,BRA,MF,Everton,29,1991,12,12,1028,0,0,0,0,4,0,0,0,0,0,0,0.1,0.1,0.3,0.01,0.03,0.04,0.01,0.04,2020/2021
18,Dele Alli,ENG,MFFW,Tottenham,24,1996,4,1,77,0,0,0,0,0,0,0,0,0,0,0,0.2,0.2,0,0.22,0,0.22,0.22,0.22,2020/2021
19,Miguel Almirón,PAR,MFFW,Newcastle Utd,26,1994,13,8,757,1,1,0,0,1,0,0.12,0.12,0.24,0.12,0.24,0.9,0.9,0.9,0.11,0.11,0.22,0.11,0.22,2020/2021
20,Marcos Alonso,ESP,DF,Chelsea,30,1990,3,3,225,0,0,0,0,1,0,0,0,0,0,0,0.1,0.1,0,0.03,0.02,0.05,0.03,0.05,2020/2021
21,Steven Alzate,COL,MF,Brighton,22,1998,8,5,522,0,0,0,0,1,0,0,0,0,0,0,0.2,0.2,0.3,0.04,0.06,0.1,0.04,0.1,2020/2021
22,Daniel Amartey,GHA,DF,Leicester City,26,1994,4,3,265,0,0,0,0,1,0,0,0,0,0,0,0.1,0.1,0,0.02,0,0.02,0.02,0.02,2020/2021
23,Ethan Ampadu,WAL,MFDF,Sheffield Utd,20,2000,9,8,725,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.3,0.01,0.04,0.05,0.01,0.05,2020/2021
24,Joachim Andersen,DEN,DF,Fulham,24,1996,9,9,781,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0.01,0,0.01,2020/2021
25,Felipe Anderson,BRA,FWMF,West Ham,27,1993,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020/2021
26,Michail Antonio,ENG,FW,West Ham,30,1990,7,7,526,3,0,0,0,1,0,0.51,0,0.51,0.51,0.51,2.8,2.8,0.4,0.47,0.07,0.54,0.47,0.54,2020/2021
27,Alphonse Areola,FRA,GK,Fulham,27,1993,14,14,1260,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020/2021
28,Stuart Armstrong,SCO,MF,Southampton,28,1992,12,12,1021,2,2,0,0,0,0,0.18,0.18,0.35,0.18,0.35,1.1,1.1,0.9,0.1,0.08,0.18,0.1,0.18,2020/2021
29,Kepa Arrizabalaga,ESP,GK,Chelsea,26,1994,3,3,270,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020/2021
