Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,Gls,Ast,PK,PKatt,CrdY,CrdR,Gls.1,Ast.1,G+A,G-PK,G+A-PK,xG,npxG,xA,xG.1,xA.1,xG+xA,npxG.1,npxG+xA,Season
138,Phil Foden,ENG,FWDF,Manchester City,20,2000,10,5,505,2,1,0,0,0,0,0.36,0.18,0.53,0.36,0.53,1.5,1.5,0.4,0.27,0.07,0.34,0.27,0.34,2020/2021
139,Wesley Fofana,FRA,DF,Leicester City,20,2000,11,11,990,0,0,0,0,2,0,0,0,0,0,0,0.6,0.6,0.1,0.06,0.01,0.07,0.06,0.07,2020/2021
140,Pablo Fornals,ESP,MFFW,West Ham,24,1996,14,14,1099,2,2,0,0,2,0,0.16,0.16,0.33,0.16,0.33,3.4,3.4,0.8,0.28,0.07,0.35,0.28,0.35,2020/2021
141,Timothy Fosu-Mensah,NED,DF,Manchester Utd,22,1998,1,1,80,0,0,0,0,1,0,0,0,0,0,0,0,0,0.3,0.03,0.31,0.34,0.03,0.34,2020/2021
142,Ryan Fraser,SCO,MF,Newcastle Utd,26,1994,7,2,275,0,1,0,0,0,0,0,0.33,0.33,0,0.33,0.1,0.1,0.2,0.02,0.08,0.1,0.02,0.1,2020/2021
143,Fred,BRA,MF,Manchester Utd,27,1993,11,9,823,0,0,0,0,3,0,0,0,0,0,0,0.4,0.4,1.2,0.05,0.13,0.18,0.05,0.18,2020/2021
144,Ryan Fredericks,ENG,DF,West Ham,28,1992,4,3,229,0,1,0,0,2,0,0,0.39,0.39,0,0.39,0,0,1.1,0,0.42,0.42,0,0.42,2020/2021
145,Christian Fuchs,AUT,DF,Leicester City,34,1986,9,8,702,0,0,0,0,4,0,0,0,0,0,0,0.1,0.1,0,0.01,0,0.01,0.01,0.01,2020/2021
146,Darnell Furlong,ENG,DF,West Brom,25,1995,14,14,1238,1,2,0,0,2,0,0.07,0.15,0.22,0.07,0.22,0.7,0.7,1.4,0.05,0.1,0.16,0.05,0.16,2020/2021
147,Conor Gallagher,ENG,MF,West Brom,20,2000,11,11,978,2,0,0,0,4,0,0.18,0,0.18,0.18,0.18,0.9,0.9,0.2,0.08,0.02,0.1,0.08,0.1,2020/2021
148,Eric García,ESP,DF,Manchester City,19,2001,3,2,201,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.01,0.04,0.04,0.01,0.04,2020/2021
149,Dwight Gayle,ENG,FW,Newcastle Utd,30,1990,4,0,64,1,0,0,0,0,0,1.41,0,1.41,1.41,1.41,0.2,0.2,0,0.27,0.02,0.3,0.27,0.3,2020/2021
150,David de Gea,ESP,GK,Manchester Utd,30,1990,12,12,1035,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020/2021
151,Anwar El Ghazi,NED,FW,Aston Villa,25,1995,8,4,399,5,0,2,2,1,0,1.13,0,1.13,0.68,0.68,3.7,2.1,0.8,0.83,0.18,1.01,0.48,0.66,2020/2021
152,Kieran Gibbs,ENG,DF,West Brom,31,1989,6,5,449,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2020/2021
153,Billy Gilmour,SCO,MF,Chelsea,19,2001,1,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020/2021
154,Olivier Giroud,FRA,FW,Chelsea,34,1986,9,4,361,3,0,0,0,1,0,0.75,0,0.75,0.75,0.75,2.6,2.6,0.4,0.66,0.1,0.76,0.66,0.76,2020/2021
155,Ben Godfrey,ENG,DF,Everton,22,1998,9,8,780,0,0,0,0,2,0,0,0,0,0,0,0.1,0.1,0,0.01,0,0.01,0.01,0.01,2020/2021
156,André Gomes,POR,MF,Everton,27,1993,10,5,523,0,0,0,0,2,0,0,0,0,0,0,0.1,0.1,0.2,0.02,0.03,0.04,0.02,0.04,2020/2021
157,Joe Gomez,ENG,DF,Liverpool,23,1997,7,6,590,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020/2021
158,Anthony Gordon,ENG,FWMF,Everton,19,2001,3,1,88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03,0.03,0,0.03,2020/2021
159,Karlan Grant,ENG,FW,West Brom,23,1997,11,11,797,1,0,0,0,1,0,0.11,0,0.11,0.11,0.11,2.1,2.1,0,0.24,0,0.24,0.24,0.24,2020/2021
160,Demarai Gray,ENG,FW,Leicester City,24,1996,1,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.17,0,0.17,0.17,0.17,2020/2021
161,Jack Grealish,ENG,FWMF,Aston Villa,25,1995,14,14,1260,5,6,0,0,4,0,0.36,0.43,0.79,0.36,0.79,3.4,3.4,5.4,0.24,0.39,0.63,0.24,0.63,2020/2021
162,Mason Greenwood,ENG,FW,Manchester Utd,19,2001,9,7,557,1,0,0,0,1,0,0.16,0,0.16,0.16,0.16,1.8,1.8,0.2,0.29,0.03,0.32,0.29,0.32,2020/2021
163,Pascal Groß,GER,MF,Brighton,29,1991,13,6,628,2,2,2,2,1,0,0.29,0.29,0.57,0,0.29,2.1,0.6,1.4,0.3,0.19,0.49,0.08,0.28,2020/2021
164,Kamil Grosicki,POL,FWMF,West Brom,32,1988,1,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020/2021
165,Vicente Guaita,ESP,GK,Crystal Palace,33,1987,16,16,1440,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020/2021
166,İlkay Gündoğan,GER,MF,Manchester City,30,1990,9,7,661,2,0,0,0,0,0,0.27,0,0.27,0.27,0.27,1.2,1.2,0.8,0.16,0.1,0.26,0.16,0.26,2020/2021
167,Sébastien Haller,CIV,FW,West Ham,26,1994,14,8,803,3,0,0,0,0,0,0.34,0,0.34,0.34,0.34,2.7,2.7,1.2,0.3,0.14,0.44,0.3,0.44,2020/2021
168,Rekeem Harper,ENG,MFDF,West Brom,20,2000,1,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020/2021
169,Jack Harrison,ENG,MF,Leeds United,24,1996,14,14,1159,2,4,0,0,0,0,0.16,0.31,0.47,0.16,0.47,2.5,2.5,3.9,0.19,0.3,0.49,0.19,0.49,2020/2021
170,Kortney Hause,ENG,DF,Aston Villa,25,1995,4,4,360,1,0,0,0,1,0,0.25,0,0.25,0.25,0.25,1.1,1.1,0,0.27,0,0.27,0.27,0.27,2020/2021
171,Kai Havertz,GER,MFFW,Chelsea,21,1999,14,10,804,1,1,0,0,1,0,0.11,0.11,0.22,0.11,0.22,1.3,1.3,0.7,0.15,0.07,0.22,0.15,0.22,2020/2021
172,Isaac Hayden,ENG,MFDF,Newcastle Utd,25,1995,11,9,821,0,0,0,0,4,0,0,0,0,0,0,0.1,0.1,0.3,0.01,0.04,0.05,0.01,0.05,2020/2021
173,Michael Hector,JAM,DF,Fulham,28,1992,4,3,263,0,0,0,0,2,0,0,0,0,0,0,0.1,0.1,0,0.03,0.01,0.04,0.03,0.04,2020/2021
174,Ahmed Hegazi,EGY,DF,West Brom,29,1991,1,1,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020/2021
175,Dean Henderson,ENG,GK,Manchester Utd,23,1997,3,2,225,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020/2021
176,Jordan Henderson,ENG,MF,Liverpool,30,1990,12,11,955,1,1,0,0,0,0,0.09,0.09,0.19,0.09,0.19,1.3,1.3,0.8,0.12,0.07,0.19,0.12,0.19,2020/2021
177,Jeff Hendrick,IRL,MF,Newcastle Utd,28,1992,10,10,821,2,1,0,0,0,0,0.22,0.11,0.33,0.22,0.33,0.8,0.8,0.6,0.09,0.07,0.16,0.09,0.16,2020/2021
178,Pablo Hernández,ESP,MF,Leeds United,35,1985,6,2,196,0,2,0,0,0,0,0,0.92,0.92,0,0.92,0.8,0.8,0.5,0.35,0.24,0.59,0.35,0.59,2020/2021
179,Son Heung-min,KOR,FW,Tottenham,28,1992,15,15,1254,11,4,0,0,0,0,0.79,0.29,1.08,0.79,1.08,5.1,5.1,3.2,0.36,0.23,0.59,0.36,0.59,2020/2021
180,Ki-Jana Hoever,NED,DF,Wolves,18,2002,2,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.13,0.13,0,0.13,2020/2021
181,Rob Holding,ENG,DF,Arsenal,25,1995,12,11,1035,0,0,0,0,2,0,0,0,0,0,0,0.7,0.7,0,0.06,0,0.06,0.06,0.06,2020/2021
182,Mason Holgate,ENG,DF,Everton,24,1996,6,6,531,1,0,0,0,2,0,0.17,0,0.17,0.17,0.17,0.7,0.7,0,0.13,0.01,0.13,0.13,0.13,2020/2021
183,Conor Hourihane,IRL,MF,Aston Villa,29,1991,4,3,225,1,1,0,0,0,0,0.4,0.4,0.8,0.4,0.8,0.5,0.5,0.8,0.2,0.32,0.52,0.2,0.52,2020/2021
184,Callum Hudson-Odoi,ENG,FW,Chelsea,20,2000,7,2,306,1,1,0,0,0,0,0.29,0.29,0.59,0.29,0.59,0.4,0.4,1.1,0.11,0.31,0.42,0.11,0.42,2020/2021
185,Pierre Højbjerg,DEN,MF,Tottenham,25,1995,15,15,1350,0,1,0,0,2,0,0,0.07,0.07,0,0.07,0.1,0.1,0.6,0,0.04,0.05,0,0.05,2020/2021
186,Odion Ighalo,NGA,FW,Manchester Utd,31,1989,1,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020/2021
187,Kelechi Iheanacho,NGA,FWMF,Leicester City,24,1996,8,2,238,0,0,0,1,0,0,0,0,0,0,0,1.4,0.7,0.6,0.54,0.22,0.76,0.25,0.47,2020/2021
188,Danny Ings,ENG,FW,Southampton,28,1992,11,10,889,6,3,2,2,1,0,0.61,0.3,0.91,0.4,0.71,4.6,3.1,0.9,0.47,0.09,0.56,0.31,0.4,2020/2021
189,Branislav Ivanović,SRB,DF,West Brom,36,1984,9,7,632,0,0,0,0,2,0,0,0,0,0,0,0.6,0.6,0.1,0.08,0.01,0.09,0.08,0.09,2020/2021
190,Alex Iwobi,NGA,FWDF,Everton,24,1996,14,8,780,0,2,0,0,0,0,0,0.23,0.23,0,0.23,0.2,0.2,1.5,0.02,0.18,0.2,0.02,0.2,2020/2021
191,Phil Jagielka,ENG,DFMF,Sheffield Utd,38,1982,2,1,141,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020/2021
192,Alireza Jahanbakhsh,IRN,FWMF,Brighton,27,1993,10,1,179,0,1,0,0,1,0,0,0.5,0.5,0,0.5,0.9,0.9,1.8,0.44,0.91,1.35,0.44,1.35,2020/2021
193,Daniel James,WAL,FW,Manchester Utd,23,1997,5,5,320,1,0,0,0,2,0,0.28,0,0.28,0.28,0.28,0.6,0.6,0.2,0.18,0.05,0.23,0.18,0.23,2020/2021
194,Reece James,ENG,DF,Chelsea,21,1999,13,12,1084,1,2,0,0,3,0,0.08,0.17,0.25,0.08,0.25,0.5,0.5,1.8,0.04,0.15,0.19,0.04,0.19,2020/2021
195,Gabriel Jesus,BRA,FW,Manchester City,23,1997,7,7,630,2,1,0,0,1,0,0.29,0.14,0.43,0.29,0.43,1.8,1.8,1.4,0.26,0.19,0.46,0.26,0.46,2020/2021
196,Raúl Jiménez,MEX,FW,Wolves,29,1991,10,10,823,4,0,0,0,0,0,0.44,0,0.44,0.44,0.44,2.4,2.4,0.8,0.26,0.08,0.34,0.26,0.34,2020/2021
197,Joelinton,BRA,FWMF,Newcastle Utd,24,1996,13,9,796,1,2,0,0,2,0,0.11,0.23,0.34,0.11,0.34,1.6,1.6,1.1,0.18,0.12,0.3,0.18,0.3,2020/2021
198,Ben Johnson,ENG,DF,West Ham,20,2000,4,1,144,1,0,0,0,0,0,0.62,0,0.62,0.62,0.62,0.3,0.3,0,0.21,0,0.21,0.21,0.21,2020/2021
199,Sam Johnstone,ENG,GK,West Brom,27,1993,15,15,1350,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020/2021
200,Curtis Jones,ENG,MF,Liverpool,19,2001,10,6,605,0,0,0,0,1,0,0,0,0,0,0,0.6,0.6,0.5,0.1,0.08,0.17,0.1,0.17,2020/2021
201,Jorginho,ITA,MF,Chelsea,29,1991,10,7,638,3,1,3,5,0,0,0.42,0.14,0.56,0,0.14,3.9,0.1,0.9,0.55,0.13,0.68,0.01,0.14,2020/2021
202,Diogo Jota,POR,FW,Liverpool,24,1996,9,5,503,5,0,0,0,0,0,0.89,0,0.89,0.89,0.89,2.4,2.4,1.2,0.44,0.22,0.66,0.44,0.66,2020/2021
203,James Justin,ENG,DF,Leicester City,22,1998,16,16,1440,1,1,0,0,2,0,0.06,0.06,0.12,0.06,0.12,0.5,0.5,1.3,0.03,0.08,0.11,0.03,0.11,2020/2021
204,Aboubakar Kamara,FRA,FWDF,Fulham,25,1995,8,2,282,0,0,0,0,1,1,0,0,0,0,0,0.4,0.4,0.2,0.12,0.06,0.18,0.12,0.18,2020/2021
205,Harry Kane,ENG,FW,Tottenham,27,1993,15,15,1343,9,10,2,2,1,0,0.6,0.67,1.27,0.47,1.14,7.6,6.1,4,0.51,0.27,0.78,0.41,0.67,2020/2021
206,N'Golo Kanté,FRA,MF,Chelsea,29,1991,16,16,1415,0,1,0,0,4,0,0,0.06,0.06,0,0.06,0.3,0.3,0.8,0.02,0.05,0.07,0.02,0.07,2020/2021
207,Moise Kean,ITA,FW,Everton,20,2000,2,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.21,0,0.21,0.21,0.21,2020/2021
208,Michael Keane,ENG,DF,Everton,27,1993,15,15,1325,2,0,0,0,0,0,0.14,0,0.14,0.14,0.14,1,1,0.5,0.06,0.03,0.1,0.06,0.1,2020/2021
209,Neeskens Kebano,COD,FWMF,Fulham,28,1992,5,1,119,0,0,0,0,0,0,0,0,0,0,0,0.3,0.3,0,0.22,0,0.22,0.22,0.22,2020/2021
210,Naby Keïta,GUI,MF,Liverpool,25,1995,7,6,395,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0.6,0.1,0.13,0.23,0.1,0.23,2020/2021
211,Caoimhin Kelleher,IRL,GK,Liverpool,22,1998,1,1,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020/2021
212,Jonjoe Kenny,ENG,DF,Everton,23,1997,4,1,79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020/2021
213,Max Kilman,ENG,DF,Wolves,23,1997,8,7,643,0,1,0,0,1,0,0,0.14,0.14,0,0.14,0.3,0.3,0.4,0.04,0.05,0.09,0.04,0.09,2020/2021
214,Mateusz Klich,POL,MF,Leeds United,30,1990,15,15,1254,3,4,2,2,4,0,0.22,0.29,0.5,0.07,0.36,2.4,0.9,2.7,0.18,0.19,0.37,0.07,0.26,2020/2021
215,Robin Koch,GER,DF,Leeds United,24,1996,11,11,908,0,0,0,0,0,0,0,0,0,0,0,0.7,0.7,0.2,0.07,0.02,0.08,0.07,0.08,2020/2021
216,Sead Kolašinac,BIH,DF,Arsenal,27,1993,1,1,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020/2021
217,Ezri Konsa,ENG,DF,Aston Villa,23,1997,12,11,1036,2,0,0,0,1,0,0.17,0,0.17,0.17,0.17,0.6,0.6,0,0.05,0,0.05,0.05,0.05,2020/2021
218,Cheikhou Kouyaté,SEN,DF,Crystal Palace,31,1989,16,16,1412,1,0,0,0,0,0,0.06,0,0.06,0.06,0.06,0.8,0.8,0.1,0.05,0.01,0.06,0.05,0.06,2020/2021
219,Mateo Kovačić,CRO,MF,Chelsea,26,1994,11,7,576,0,1,0,0,0,0,0,0.16,0.16,0,0.16,0.2,0.2,0.9,0.03,0.13,0.17,0.03,0.17,2020/2021
220,Emil Krafth,SWE,DF,Newcastle Utd,26,1994,4,3,288,0,0,0,0,1,0,0,0,0,0,0,0,0,0.1,0,0.03,0.03,0,0.03,2020/2021
221,Filip Krovinović,CRO,MF,West Brom,25,1995,10,5,528,0,0,0,0,0,0,0,0,0,0,0,0.2,0.2,0.3,0.04,0.05,0.09,0.04,0.09,2020/2021
222,Alexandre Lacazette,FRA,FWMF,Arsenal,29,1991,12,9,748,4,0,1,1,2,0,0.48,0,0.48,0.36,0.36,3.9,3.1,0.5,0.46,0.06,0.53,0.37,0.44,2020/2021
223,Adam Lallana,ENG,MFFW,Brighton,32,1988,13,10,746,0,1,0,0,0,0,0,0.12,0.12,0,0.12,0.5,0.5,2.1,0.06,0.25,0.31,0.06,0.31,2020/2021
224,Érik Lamela,ARG,FW,Tottenham,28,1992,6,2,197,0,0,0,0,1,0,0,0,0,0,0,0.7,0.7,0.1,0.3,0.06,0.36,0.3,0.36,2020/2021
225,Tariq Lamptey,ENG,DF,Brighton,20,2000,11,11,886,1,1,0,0,4,1,0.1,0.1,0.2,0.1,0.2,0.6,0.6,1.1,0.06,0.11,0.17,0.06,0.17,2020/2021
226,Manuel Lanzini,ARG,MFFW,West Ham,27,1993,7,0,156,1,1,0,0,1,0,0.58,0.58,1.15,0.58,1.15,0.2,0.2,0.4,0.13,0.23,0.35,0.13,0.35,2020/2021
227,Aymeric Laporte,FRA,DF,Manchester City,26,1994,4,4,360,0,0,0,0,1,0,0,0,0,0,0,0.2,0.2,0.2,0.04,0.06,0.1,0.04,0.1,2020/2021
228,Jamaal Lascelles,ENG,DF,Newcastle Utd,27,1993,8,8,672,0,0,0,0,1,0,0,0,0,0,0,0.2,0.2,0,0.03,0,0.03,0.03,0.03,2020/2021
229,Maxime Le Marchand,FRA,DF,Fulham,31,1989,2,1,123,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0.01,0,0.01,0.01,0.01,2020/2021
230,Mario Lemina,GAB,MF,Fulham,27,1993,10,5,457,0,0,0,0,1,0,0,0,0,0,0,0.1,0.1,0.4,0.02,0.07,0.09,0.02,0.09,2020/2021
231,Bernd Leno,GER,GK,Arsenal,28,1992,15,15,1350,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020/2021
232,Jamal Lewis,NIR,DF,Newcastle Utd,22,1998,13,11,1015,0,0,0,0,4,0,0,0,0,0,0,0,0,0.9,0,0.08,0.08,0,0.08,2020/2021
233,Victor Lindelöf,SWE,DF,Manchester Utd,26,1994,13,13,1145,1,1,0,0,0,0,0.08,0.08,0.16,0.08,0.16,0.6,0.6,0.5,0.05,0.04,0.09,0.05,0.09,2020/2021
234,Jake Livermore,ENG,MF,West Brom,31,1989,10,10,769,0,0,0,0,2,1,0,0,0,0,0,0.2,0.2,0.2,0.02,0.03,0.05,0.02,0.05,2020/2021
235,Diego Llorente,ESP,DF,Leeds United,27,1993,1,0,82,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020/2021
236,Hugo Lloris,FRA,GK,Tottenham,34,1986,15,15,1350,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020/2021
237,Giovani Lo Celso,ARG,MFFW,Tottenham,24,1996,11,4,439,1,1,0,0,3,0,0.21,0.21,0.41,0.21,0.41,0.8,0.8,1,0.17,0.21,0.38,0.17,0.38,2020/2021
238,Ruben Loftus-Cheek,ENG,FWMF,Fulham,24,1996,10,7,605,1,0,0,0,1,0,0.15,0,0.15,0.15,0.15,0.6,0.6,0.3,0.09,0.04,0.14,0.09,0.14,2020/2021
239,Ruben Loftus-Cheek,ENG,FW,Chelsea,24,1996,1,1,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020/2021
240,Kevin Long,IRL,DF,Burnley,30,1990,6,6,540,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0.01,0,0.01,0.01,0.01,2020/2021
241,Shane Long,IRL,FWMF,Southampton,33,1987,9,1,158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0,0.02,0.02,0.02,2020/2021
242,Matthew Longstaff,ENG,MF,Newcastle Utd,20,2000,2,1,120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0.02,0,0.02,2020/2021
243,Sean Longstaff,ENG,MF,Newcastle Utd,23,1997,10,7,646,0,0,0,0,2,0,0,0,0,0,0,0.6,0.6,0.2,0.08,0.03,0.11,0.08,0.11,2020/2021
244,Ademola Lookman,ENG,FW,Fulham,23,1997,12,11,1007,2,2,0,1,2,0,0.18,0.18,0.36,0.18,0.36,2.9,2.2,1.5,0.26,0.13,0.39,0.2,0.33,2020/2021
245,Max Lowe,ENG,DF,Sheffield Utd,23,1997,6,6,413,0,0,0,0,1,0,0,0,0,0,0,0.1,0.1,0,0.01,0.01,0.02,0.01,0.02,2020/2021
246,Matthew Lowton,ENG,DF,Burnley,31,1989,10,10,900,0,0,0,0,1,0,0,0,0,0,0,0.1,0.1,0.3,0.01,0.03,0.04,0.01,0.04,2020/2021
247,David Luiz,BRA,DF,Arsenal,33,1987,8,6,481,0,0,0,0,0,0,0,0,0,0,0,0.2,0.2,0,0.03,0.01,0.04,0.03,0.04,2020/2021
248,Douglas Luiz,BRA,MF,Aston Villa,22,1998,13,13,1132,0,1,0,0,4,1,0,0.08,0.08,0,0.08,0.4,0.4,0.6,0.03,0.04,0.07,0.03,0.07,2020/2021
249,John Lundstram,ENG,MF,Sheffield Utd,26,1994,12,9,768,0,1,0,1,3,1,0,0.12,0.12,0,0.12,1.6,0.9,0.7,0.19,0.09,0.28,0.1,0.19,2020/2021
250,Alexis Mac Allister,ARG,MFDF,Brighton,22,1998,4,0,65,1,0,0,0,0,0,1.38,0,1.38,1.38,1.38,0.1,0.1,0,0.11,0,0.11,0.11,0.11,2020/2021
251,James Maddison,ENG,MFFW,Leicester City,24,1996,14,9,886,3,2,0,0,3,0,0.3,0.2,0.51,0.3,0.51,1.2,1.2,1.8,0.13,0.19,0.31,0.13,0.31,2020/2021
252,Harry Maguire,ENG,DF,Manchester Utd,27,1993,14,14,1260,1,0,0,0,3,0,0.07,0,0.07,0.07,0.07,1.2,1.2,0.1,0.08,0.01,0.09,0.08,0.09,2020/2021
253,Riyad Mahrez,ALG,FWDF,Manchester City,29,1991,10,9,765,4,1,0,0,0,0,0.47,0.12,0.59,0.47,0.59,2.3,2.3,2.9,0.27,0.34,0.61,0.27,0.61,2020/2021
254,Ainsley Maitland-Niles,ENG,DF,Arsenal,23,1997,8,4,387,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.01,0.03,0.03,0.01,0.03,2020/2021
255,Sadio Mané,SEN,FW,Liverpool,28,1992,14,13,1150,6,2,0,0,2,0,0.47,0.16,0.63,0.47,0.63,7.3,7.3,2,0.57,0.15,0.73,0.57,0.73,2020/2021
256,Javier Manquillo,ESP,DF,Newcastle Utd,26,1994,6,5,460,0,0,0,0,1,0,0,0,0,0,0,0,0,0.2,0,0.04,0.04,0,0.04,2020/2021
257,Fernando Marçal,BRA,DF,Wolves,31,1989,10,7,571,0,0,0,0,2,0,0,0,0,0,0,0.1,0.1,0.1,0.01,0.02,0.03,0.01,0.03,2020/2021
258,Solly March,ENG,DF,Brighton,26,1994,14,14,1200,2,1,0,0,0,0,0.15,0.07,0.23,0.15,0.23,1.2,1.2,1.3,0.09,0.1,0.18,0.09,0.18,2020/2021
259,Pablo Marí,ESP,DF,Arsenal,27,1993,1,1,90,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020/2021
260,Anthony Martial,FRA,FW,Manchester Utd,25,1995,10,9,708,1,3,0,0,0,1,0.13,0.38,0.51,0.13,0.51,2.8,2.8,1.6,0.36,0.21,0.56,0.36,0.56,2020/2021
261,Martinelli,BRA,FW,Arsenal,19,2001,2,1,90,0,0,0,0,0,0,0,0,0,0,0,0.6,0.6,0,0.6,0,0.6,0.6,0.6,2020/2021
262,Emiliano Martínez,ARG,GK,Aston Villa,28,1992,14,14,1260,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020/2021
263,Arthur Masuaku,COD,DF,West Ham,27,1993,10,10,850,0,1,0,0,1,0,0,0.11,0.11,0,0.11,0.3,0.3,1.6,0.03,0.17,0.2,0.03,0.2,2020/2021
264,Juan Mata,ESP,FW,Manchester Utd,32,1988,6,4,335,0,2,0,0,0,0,0,0.54,0.54,0,0.54,0.3,0.3,0.8,0.09,0.23,0.32,0.09,0.32,2020/2021
265,Nemanja Matić,SRB,MF,Manchester Utd,32,1988,7,5,435,0,0,0,0,1,0,0,0,0,0,0,0.1,0.1,0,0.02,0.01,0.03,0.02,0.03,2020/2021
266,Joël Matip,CMR,DF,Liverpool,29,1991,8,7,556,1,2,0,0,1,0,0.16,0.32,0.49,0.16,0.49,0.6,0.6,1,0.1,0.17,0.27,0.1,0.27,2020/2021
267,Neal Maupay,FRA,FWMF,Brighton,24,1996,13,12,1005,5,1,2,3,0,0,0.45,0.09,0.54,0.27,0.36,6.6,4.3,1,0.59,0.09,0.68,0.39,0.47,2020/2021
268,James McArthur,SCO,MF,Crystal Palace,33,1987,14,13,1106,0,1,0,0,3,0,0,0.08,0.08,0,0.08,0.2,0.2,0.8,0.01,0.07,0.08,0.01,0.08,2020/2021
269,Oliver McBurnie,SCO,FW,Sheffield Utd,24,1996,13,8,825,1,0,0,0,1,0,0.11,0,0.11,0.11,0.11,2.7,2.7,0.7,0.29,0.07,0.37,0.29,0.37,2020/2021
270,Alex McCarthy,ENG,GK,Southampton,31,1989,15,15,1350,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020/2021
271,James McCarthy,IRL,MF,Crystal Palace,30,1990,5,4,330,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.01,0.02,0,0.02,2020/2021
272,John McGinn,SCO,MF,Aston Villa,26,1994,14,14,1260,1,4,0,0,4,0,0.07,0.29,0.36,0.07,0.36,0.9,0.9,1.6,0.06,0.11,0.18,0.06,0.18,2020/2021
273,David McGoldrick,IRL,FWMF,Sheffield Utd,33,1987,13,9,745,4,1,0,0,1,0,0.48,0.12,0.6,0.48,0.6,2.4,2.4,0.9,0.29,0.11,0.39,0.29,0.39,2020/2021
274,Dwight McNeil,ENG,MF,Burnley,21,1999,13,13,1166,0,1,0,0,1,0,0,0.08,0.08,0,0.08,0.3,0.3,1.8,0.03,0.14,0.16,0.03,0.16,2020/2021
275,Scott McTominay,SCO,MF,Manchester Utd,24,1996,12,9,855,2,1,0,0,0,0,0.21,0.11,0.32,0.21,0.32,0.9,0.9,0.7,0.09,0.07,0.16,0.09,0.16,2020/2021
276,Ben Mee,ENG,DF,Burnley,31,1989,8,8,720,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0,0.06,0,0.07,0.06,0.07,2020/2021
277,Benjamin Mendy,FRA,DF,Manchester City,26,1994,6,6,504,1,0,0,0,2,0,0.18,0,0.18,0.18,0.18,0.1,0.1,0,0.02,0,0.03,0.02,0.03,2020/2021
278,Edouard Mendy,SEN,GK,Chelsea,28,1992,12,12,1080,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020/2021
279,Nampalys Mendy,FRA,MF,Leicester City,28,1992,14,13,1105,0,1,0,0,4,0,0,0.08,0.08,0,0.08,0,0,0.3,0,0.02,0.02,0,0.02,2020/2021
280,Illan Meslier,FRA,GK,Leeds United,20,2000,15,15,1350,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0.01,0.01,0,0.01,2020/2021
281,Luka Milivojević,SRB,MF,Crystal Palace,29,1991,12,8,727,0,0,0,0,4,1,0,0,0,0,0,0.5,0.5,0.5,0.06,0.06,0.12,0.06,0.12,2020/2021
